1966-01-01,41
1966-02-01,39
1966-03-01,50
1966-04-01,40
1966-05-01,43
1966-06-01,38
1966-07-01,44
1966-08-01,35
1966-09-01,39
1966-10-01,35
1966-11-01,29
1966-12-01,49
1967-01-01,50
1967-02-01,59
1967-03-01,63
1967-04-01,32
1967-05-01,39
1967-06-01,47
1967-07-01,53
1967-08-01,60
1967-09-01,57
1967-10-01,52
1967-11-01,70
1967-12-01,90
1968-01-01,74
1968-02-01,62
1968-03-01,55
1968-04-01,84
1968-05-01,94
1968-06-01,70
1968-07-01,108
1968-08-01,139
1968-09-01,120
1968-10-01,97
1968-11-01,126
1968-12-01,149
1969-01-01,158
1969-02-01,124
1969-03-01,140
1969-04-01,109
1969-05-01,114
1969-06-01,77
1969-07-01,120
1969-08-01,133
1969-09-01,110
1969-10-01,92
1969-11-01,97
1969-12-01,78
1970-01-01,99
1970-02-01,107
1970-03-01,112
1970-04-01,90
1970-05-01,98
1970-06-01,125
1970-07-01,155
1970-08-01,190
1970-09-01,236
1970-10-01,189
1970-11-01,174
1970-12-01,178
1971-01-01,136
1971-02-01,161
1971-03-01,171
1971-04-01,149
1971-05-01,184
1971-06-01,155
1971-07-01,276
1971-08-01,224
1971-09-01,213
1971-10-01,279
1971-11-01,268
1971-12-01,287
1972-01-01,238
1972-02-01,213
1972-03-01,257
1972-04-01,293
1972-05-01,212
1972-06-01,246
1972-07-01,353
1972-08-01,339
1972-09-01,308
1972-10-01,247
1972-11-01,257
1972-12-01,322
1973-01-01,298
1973-02-01,273
1973-03-01,312
1973-04-01,249
1973-05-01,286
1973-06-01,279
1973-07-01,309
1973-08-01,401
1973-09-01,309
1973-10-01,328
1973-11-01,353
1973-12-01,354
1974-01-01,327
1974-02-01,324
1974-03-01,285
1974-04-01,243
1974-05-01,241
1974-06-01,287
1974-07-01,355
1974-08-01,460
1974-09-01,364
1974-10-01,487
