1966-02-01,-2
1966-03-01,11
1966-04-01,-10
1966-05-01,3
1966-06-01,-5
1966-07-01,6
1966-08-01,-9
1966-09-01,4
1966-10-01,-4
1966-11-01,-6
1966-12-01,20
1967-01-01,1
1967-02-01,9
1967-03-01,4
1967-04-01,-31
1967-05-01,7
1967-06-01,8
1967-07-01,6
1967-08-01,7
1967-09-01,-3
1967-10-01,-5
1967-11-01,18
1967-12-01,20
1968-01-01,-16
1968-02-01,-12
1968-03-01,-7
1968-04-01,29
1968-05-01,10
1968-06-01,-24
1968-07-01,38
1968-08-01,31
1968-09-01,-19
1968-10-01,-23
1968-11-01,29
1968-12-01,23
1969-01-01,9
1969-02-01,-34
1969-03-01,16
1969-04-01,-31
1969-05-01,5
1969-06-01,-37
1969-07-01,43
1969-08-01,13
1969-09-01,-23
1969-10-01,-18
1969-11-01,5
1969-12-01,-19
1970-01-01,21
1970-02-01,8
1970-03-01,5
1970-04-01,-22
1970-05-01,8
1970-06-01,27
1970-07-01,30
1970-08-01,35
1970-09-01,46
1970-10-01,-47
1970-11-01,-15
1970-12-01,4
1971-01-01,-42
1971-02-01,25
1971-03-01,10
1971-04-01,-22
1971-05-01,35
1971-06-01,-29
1971-07-01,121
1971-08-01,-52
1971-09-01,-11
1971-10-01,66
1971-11-01,-11
1971-12-01,19
1972-01-01,-49
1972-02-01,-25
1972-03-01,44
1972-04-01,36
1972-05-01,-81
1972-06-01,34
1972-07-01,107
1972-08-01,-14
1972-09-01,-31
1972-10-01,-61
1972-11-01,10
1972-12-01,65
1973-01-01,-24
1973-02-01,-25
1973-03-01,39
1973-04-01,-63
1973-05-01,37
1973-06-01,-7
1973-07-01,30
1973-08-01,92
1973-09-01,-92
1973-10-01,19
1973-11-01,25
1973-12-01,1
1974-01-01,-27
1974-02-01,-3
1974-03-01,-39
1974-04-01,-42
1974-05-01,-2
1974-06-01,46
1974-07-01,68
1974-08-01,105
1974-09-01,-96
1974-10-01,123
